2018-02-05_03-03-08-1780,         0.0930,         0.0758,         2.0000,        34.0000,        27.0000,        61.0000,         1.0000,       441.2000
2018-02-05_03-03-08-7280,         0.0912,         0.0761,         0.0000,        30.0000,        35.0000,        65.0000,         6.0000,       441.6000
2018-02-05_03-03-21-3970,         0.0910,         0.0762,         0.0000,        31.0000,        31.0000,        62.0000,         3.0000,       451.7000
2018-02-05_03-03-21-9980,         0.0918,         0.0755,         1.0000,        31.0000,        28.0000,        59.0000,         2.0000,       452.2000
2018-02-05_03-03-33-4130,         0.0921,         0.0762,         0.0000,        33.0000,        29.0000,        62.0000,         1.0000,       461.3000
2018-02-05_03-03-34-0140,         0.0914,         0.0756,         0.0000,        30.0000,        27.0000,        57.0000,         2.0000,       461.8000
2018-02-05_03-03-46-5320,         0.0917,         0.0760,         0.0000,        30.0000,        36.0000,        66.0000,         6.0000,       471.8000
2018-02-05_03-03-47-1840,         0.0911,         0.0763,         1.0000,        30.0000,        35.0000,        65.0000,         1.0000,       472.3000
2018-02-05_03-03-58-6980,         0.0911,         0.0762,         0.0000,        38.0000,        34.0000,        72.0000,         6.0000,       481.5000
2018-02-05_03-03-59-3000,         0.0899,         0.0761,         0.0000,        35.0000,        31.0000,        66.0000,         3.0000,       482.0000
2018-02-05_03-04-10-6660,         0.0909,         0.0763,         0.0000,        27.0000,        29.0000,        56.0000,         2.0000,       491.1000
2018-02-05_03-04-11-2680,         0.0903,         0.0762,         1.0000,        36.0000,        27.0000,        63.0000,         2.0000,       491.6000
2018-02-05_03-04-23-5850,         0.0912,         0.0759,         0.0000,        34.0000,        31.0000,        65.0000,         5.0000,       501.4000
2018-02-05_03-04-24-2350,         0.0913,         0.0761,         0.0000,        33.0000,        30.0000,        63.0000,         0.0000,       502.0000
2018-02-05_03-04-36-0040,         0.0914,         0.0761,         0.0000,        29.0000,        27.0000,        56.0000,         1.0000,       511.4000
2018-02-05_03-04-36-6030,         0.0902,         0.0763,         1.0000,        37.0000,        24.0000,        61.0000,         3.0000,       511.8000
2018-02-05_03-04-49-4220,         0.0898,         0.0762,         0.0000,        31.0000,        33.0000,        64.0000,         4.0000,       522.1000
2018-02-05_03-04-49-9730,         0.0913,         0.0762,         1.0000,        26.0000,        38.0000,        64.0000,         2.0000,       522.5000
2018-02-05_03-05-01-3900,         0.0906,         0.0763,         0.0000,        33.0000,        26.0000,        59.0000,         0.0000,       531.6000
2018-02-05_03-05-01-9890,         0.0901,         0.0763,         1.0000,        27.0000,        41.0000,        68.0000,         5.0000,       532.1000
